Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-10-15,65128.98,66444.72,64471.11,65786.85,65786.85,65498.32,7,6,0.0,0.4405,67435.51,65317.17,-2.4448,0.7191
2024-10-15,66761.16,68109.87,66086.8,67435.51,67435.51,65498.32,7,5,0.0,2.9576,67048.21,65317.17,0.5777,3.2432
2024-10-15,64664.0,65970.34,64010.83,65317.17,67435.51,65317.17,6,7,-3.1413,0.0,67048.21,66387.46,-2.5818,-1.6122
2024-10-15,65723.59,67051.34,65059.71,66387.46,67435.51,65317.17,5,6,-1.5541,1.6386,67048.21,66639.38,-0.9855,-0.378
2024-10-15,66227.18,67565.1,65558.21,66896.14,67435.51,65317.17,4,5,-0.7998,2.4174,67048.21,66450.12,-0.2268,0.6712
2024-10-15,66377.72,67718.69,65707.24,67048.21,67435.51,65317.17,3,4,-0.5743,2.6502,67010.29,66450.12,0.0566,0.9
2024-10-16,66280.28,67619.28,65610.78,66949.78,67435.51,65317.17,2,3,-0.7203,2.4995,67010.29,66450.12,-0.0903,0.7519
2024-10-16,66340.19,67680.39,65670.08,67010.29,67435.51,65317.17,1,2,-0.6306,2.5922,66900.79,66450.12,0.1637,0.843
2024-10-16,65972.99,67305.78,65306.6,66639.38,67048.21,65317.17,4,1,-0.6097,2.0243,67464.23,66450.12,-1.2226,0.2848
2024-10-16,65785.62,67114.62,65121.12,66450.12,67048.21,66387.46,3,1,-0.892,0.0944,67464.23,66750.55,-1.5032,-0.4501
2024-10-16,66083.05,67418.06,65415.54,66750.55,67048.21,66450.12,2,6,-0.4439,0.4521,67464.23,66898.77,-1.0579,-0.2216
2024-10-16,66229.78,67567.76,65560.8,66898.77,67048.21,66450.12,1,5,-0.2229,0.6752,67464.23,66900.79,-0.8382,-0.003
2024-10-16,66231.79,67569.8,65562.78,66900.79,67010.29,66450.12,2,4,-0.1634,0.6782,67464.23,66993.32,-0.8352,-0.1381
2024-10-16,66789.59,68138.87,66114.94,67464.23,67464.23,66450.12,7,3,0.0,1.5261,67197.35,66941.27,0.3972,0.7812
2024-10-16,66480.97,67824.02,65809.44,67152.49,67464.23,66450.12,6,2,-0.4621,1.057,67197.35,66941.27,-0.0668,0.3155
2024-10-16,66525.37,67869.32,65853.4,67197.35,67464.23,66450.12,5,1,-0.3956,1.1245,67160.76,66941.27,0.0545,0.3825
2024-10-16,66323.39,67663.26,65653.46,66993.32,67464.23,66750.55,4,1,-0.698,0.3637,67366.61,66941.27,-0.5541,0.0778
2024-10-16,66467.63,67810.41,65796.24,67139.02,67464.23,66898.77,3,1,-0.4821,0.3591,67712.81,66941.27,-0.8474,0.2954
2024-10-16,66271.86,67610.69,65602.45,66941.27,67464.23,66900.79,2,1,-0.7752,0.0605,67802.35,66982.93,-1.27,-0.0622
2024-10-16,66313.11,67652.76,65643.28,66982.93,67464.23,66941.27,1,6,-0.7134,0.0622,67802.35,67160.76,-1.2085,-0.2648
2024-10-16,66489.15,67832.37,65817.54,67160.76,67197.35,66941.27,2,5,-0.0544,0.3279,67899.28,67366.61,-1.0877,-0.3056
2024-10-16,66692.95,68040.28,66019.28,67366.61,67366.61,66941.27,7,4,0.0,0.6354,67899.28,67712.81,-0.7845,-0.5113
2024-10-16,67035.69,68389.94,66358.56,67712.81,67712.81,66941.27,7,3,0.0,1.1526,67899.28,67649.05,-0.2746,0.0943
2024-10-16,67124.33,68480.37,66446.3,67802.35,67802.35,66941.27,7,2,0.0,1.2863,67899.28,67649.05,-0.1428,0.2266
2024-10-16,67064.09,68418.92,66386.68,67741.51,67802.35,66941.27,6,1,-0.0897,1.1954,67936.53,67649.05,-0.2871,0.1367
2024-10-16,67220.29,68578.27,66541.3,67899.28,67899.28,66982.93,7,1,0.0,1.368,67936.53,67649.05,-0.0548,0.3699
2024-10-16,67042.4,68396.79,66365.2,67719.59,67899.28,67160.76,6,1,-0.2646,0.8321,67936.53,67649.05,-0.3193,0.1043
2024-10-16,66972.56,68325.54,66296.07,67649.05,67899.28,67366.61,5,1,-0.3685,0.4193,67936.53,67596.02,-0.4232,0.0785
2024-10-16,67115.72,68471.59,66437.78,67793.65,67899.28,67649.05,4,6,-0.1556,0.2138,67936.53,67596.02,-0.2103,0.2924
2024-10-16,67257.17,68615.9,66577.8,67936.53,67936.53,67649.05,7,5,0.0,0.425,67903.0,67596.02,0.0494,0.5037
2024-10-17,67223.97,68582.03,66544.94,67903.0,67936.53,67649.05,6,4,-0.0494,0.3754,67896.74,67596.02,0.0092,0.4541
2024-10-17,67217.77,68575.71,66538.81,67896.74,67936.53,67649.05,5,3,-0.0586,0.3661,67717.24,67596.02,0.2651,0.4449
2024-10-17,66920.06,68271.98,66244.1,67596.02,67936.53,67596.02,4,7,-0.5012,0.0,67858.85,67624.85,-0.3873,-0.0426
2024-10-17,66948.6,68301.09,66272.35,67624.85,67936.53,67596.02,3,6,-0.4588,0.0426,67858.85,67459.35,-0.3448,0.2453
2024-10-17,67040.07,68394.42,66362.9,67717.24,67936.53,67596.02,2,5,-0.3228,0.1793,67858.85,67459.35,-0.2087,0.3823
2024-10-17,66971.07,68324.02,66294.59,67647.54,67936.53,67596.02,1,4,-0.4254,0.0762,67858.85,67329.12,-0.3114,0.4729
2024-10-17,67019.54,68373.47,66342.58,67696.51,67903.0,67596.02,1,3,-0.3041,0.1487,67858.85,67329.12,-0.2392,0.5457
2024-10-17,67180.26,68537.43,66501.67,67858.85,67896.74,67596.02,1,2,-0.0558,0.3888,67575.81,67108.18,0.4188,1.1186
2024-10-17,66784.75,68133.94,66110.16,67459.35,67858.85,67459.35,6,7,-0.5887,0.0,67575.81,67108.18,-0.1723,0.5233
2024-10-17,66900.05,68251.57,66224.29,67575.81,67858.85,67459.35,5,6,-0.4171,0.1726,67400.57,67108.18,0.26,0.6968
2024-10-17,66655.83,68002.41,65982.54,67329.12,67858.85,67329.12,4,7,-0.7806,0.0,67400.57,67108.18,-0.106,0.3292
2024-10-17,66665.79,68012.57,65992.4,67339.18,67858.85,67329.12,3,6,-0.7658,0.0149,67400.57,67108.18,-0.0911,0.3442
2024-10-17,66437.1,67779.26,65766.02,67108.18,67858.85,67108.18,2,7,-1.1062,0.0,67400.57,66909.04,-0.4338,0.2976
2024-10-17,66609.79,67955.44,65936.97,67282.62,67858.85,67108.18,1,6,-0.8492,0.2599,67400.57,66909.04,-0.175,0.5583
2024-10-17,66726.56,68074.57,66052.55,67400.57,67575.81,67108.18,2,5,-0.2593,0.4357,67260.94,66882.71,0.2076,0.7743
2024-10-17,66588.33,67933.55,65915.72,67260.94,67575.81,67108.18,1,4,-0.4659,0.2276,67237.09,66882.71,0.0355,0.5655
2024-10-17,66564.72,67909.46,65892.35,67237.09,67400.57,67108.18,5,3,-0.2425,0.1921,67542.6,66882.71,-0.4523,0.5299
2024-10-17,66239.95,67578.13,65570.86,66909.04,67400.57,66909.04,4,7,-0.7293,0.0,67542.6,66882.71,-0.938,0.0394
2024-10-17,66440.46,67782.69,65769.34,67111.57,67400.57,66909.04,3,6,-0.4288,0.3027,67542.6,66882.71,-0.6382,0.3422
2024-10-17,66213.88,67551.54,65545.05,66882.71,67400.57,66882.71,2,7,-0.7683,0.0,67542.6,66864.14,-0.977,0.0278
2024-10-17,66357.15,67697.7,65686.88,67027.43,67400.57,66882.71,1,6,-0.5536,0.2164,67542.6,66864.14,-0.7627,0.2442
2024-10-17,66867.18,68218.03,66191.75,67542.6,67542.6,66882.71,7,5,0.0,0.9866,67488.38,66864.14,0.0803,1.0147
2024-10-17,66813.49,68163.26,66138.61,67488.38,67542.6,66882.71,6,4,-0.0803,0.9056,67264.7,66864.14,0.3325,0.9336
2024-10-17,66592.05,67937.34,65919.4,67264.7,67542.6,66882.71,5,3,-0.4115,0.5711,67359.63,66864.14,-0.1409,0.5991
2024-10-18,66195.5,67532.79,65526.86,66864.14,67542.6,66864.14,4,7,-1.0045,0.0,67384.55,66966.58,-0.7723,-0.153
2024-10-18,66296.91,67636.24,65627.24,66966.58,67542.6,66864.14,3,6,-0.8528,0.1532,67384.55,67020.36,-0.6203,-0.0802
2024-10-18,66350.15,67690.56,65679.95,67020.36,67542.6,66864.14,2,5,-0.7732,0.2336,68159.49,67172.52,-1.6713,-0.2265
2024-10-18,66500.8,67844.25,65829.07,67172.52,67542.6,66864.14,1,4,-0.5479,0.4612,68159.49,67197.03,-1.448,-0.0365
2024-10-18,66686.03,68033.23,66012.44,67359.63,67488.38,66864.14,1,3,-0.1908,0.741,68159.49,67197.03,-1.1735,0.242
2024-10-18,66710.71,68058.4,66036.86,67384.55,67384.55,66864.14,7,2,0.0,0.7783,68159.49,67197.03,-1.1369,0.2791
2024-10-18,66525.06,67869.0,65853.09,67197.03,67384.55,66864.14,6,1,-0.2783,0.4979,68159.49,67620.13,-1.4121,-0.6257
2024-10-18,67477.89,68841.08,66796.3,68159.49,68159.49,66966.58,7,1,0.0,1.7814,68027.92,67620.13,0.1934,0.7976
2024-10-18,67332.17,68692.41,66652.04,68012.29,68159.49,67020.36,6,1,-0.216,1.48,68027.92,67620.13,-0.023,0.5799
2024-10-18,66950.73,68303.28,66274.46,67627.01,68159.49,67172.52,5,1,-0.7812,0.6766,68027.92,67620.13,-0.5893,0.0102
2024-10-18,66943.93,68296.33,66267.73,67620.13,68159.49,67197.03,4,3,-0.7913,0.6296,68027.92,67795.18,-0.5994,-0.2582
2024-10-18,67292.24,68651.68,66612.52,67971.96,68159.49,67197.03,3,2,-0.2751,1.1532,68027.92,67795.18,-0.0823,0.2607
2024-10-18,67347.64,68708.2,66667.36,68027.92,68159.49,67197.03,2,1,-0.193,1.2365,67931.19,67786.38,0.1424,0.3563
2024-10-18,67245.88,68604.38,66566.63,67925.13,68159.49,67620.13,1,4,-0.3438,0.4511,67931.19,67639.23,-0.0089,0.4227
2024-10-18,67251.88,68610.51,66572.57,67931.19,68027.92,67620.13,5,3,-0.1422,0.46,68066.06,67639.23,-0.1981,0.4316
2024-10-18,67117.23,68473.14,66439.28,67795.18,68027.92,67620.13,4,2,-0.3421,0.2589,68419.05,67639.23,-0.9118,0.2306
2024-10-18,67141.01,68497.39,66462.81,67819.2,68027.92,67620.13,3,1,-0.3068,0.2944,68516.54,67639.23,-1.0178,0.2661
2024-10-18,67108.52,68464.25,66430.66,67786.38,68027.92,67786.38,2,7,-0.3551,0.0,68860.82,67639.23,-1.5603,0.2176
2024-10-18,66962.84,68315.62,66286.45,67639.23,68027.92,67639.23,1,7,-0.5714,0.0,68860.82,68066.06,-1.774,-0.6271
2024-10-18,67385.4,68746.72,66704.74,68066.06,68066.06,67639.23,7,6,0.0,0.631,68860.82,68419.05,-1.1542,-0.5159
2024-10-18,67734.86,69103.24,67050.67,68419.05,68419.05,67639.23,7,5,0.0,1.1529,68860.82,68516.54,-0.6415,-0.1423
2024-10-18,67831.37,69201.7,67146.21,68516.54,68516.54,67639.23,7,4,0.0,1.297,68860.82,68374.01,-0.5,0.2085
2024-10-18,68172.21,69549.43,67483.6,68860.82,68860.82,67639.23,7,3,0.0,1.806,68818.86,68313.33,0.061,0.8014
2024-10-18,67987.31,69360.79,67300.57,68674.05,68860.82,67639.23,6,2,-0.2712,1.5299,68818.86,68207.84,-0.2104,0.6835
2024-10-19,68130.67,69507.05,67442.48,68818.86,68860.82,67639.23,5,1,-0.0609,1.744,68592.18,68207.84,0.3305,0.8958
2024-10-19,67906.26,69278.1,67220.34,68592.18,68860.82,68066.06,4,1,-0.3901,0.773,68465.27,68207.84,0.1854,0.5635
